MetabolightsId	InChIKey	HasPathways	KEGGPathways	WikiPathways	ReactomePathways
MTBLC116314	FATBGEAMYMYZAF-KTKRTIGZSA-N	0			
MTBLC116315	JJFGFASKBCXOBF-UHFFFAOYSA-N	0			
MTBLC11641	NOXRYJAWRSNUJD-UHFFFAOYSA-M	0			
MTBLC116424	LGLSGALYZJZNIG-UHFFFAOYSA-N	0			
MTBLC116510	QSUXHMJFIWLEKE-UHFFFAOYSA-N	0			
MTBLC116672	SSKDEIZZNPPARC-UHFFFAOYSA-N	0			
MTBLC116680	NMHUDCOGYBAHCI-UHFFFAOYSA-N	0			
MTBLC116698	ICHACPCERMCAMT-UHFFFAOYSA-N	0			
MTBLC116736	SCOCRPYCYQGLCE-FKZCKFKWSA-N	0			
MTBLC116758	DPXMBHSCQSNZNF-UHFFFAOYSA-N	0			
MTBLC116810	RLQGXMDNSAWICR-KJHCXILBSA-N	0			
MTBLC116835	DPIGXTLKHMMHAB-UHFFFAOYSA-N	0			
MTBLC11684	HZCBWYNLGPIQRK-LBPRGKRZSA-N	0			
MTBLC116848	YOEWMTAQODYVBU-FKZCKFKWSA-N	0			
MTBLC116916	NMGZVJDQABHTSU-KJHCXILBSA-N	0			
MTBLC116932	AAPDPMOLLIZJKU-PIBJWRKQSA-N	0			
MTBLC116963	RPGLLSNDDVGBOW-YTIXFSKQSA-N	0			
MTBLC117048	URKGNSIZAASXFK-MKISUTETSA-N	0			
MTBLC1171	ZFVCONUOLQASEW-UHFFFAOYSA-N	0			
MTBLC117125	DNEQSWPVLQJHOO-UHFFFAOYSA-N	0			
MTBLC117128	FCBMPROIKFXPAS-UHFFFAOYSA-N	0			
MTBLC117134	MAASMNPMEJWKDV-UHFFFAOYSA-N	0			
MTBLC117186	AQWOKNZRXXHZFI-UHFFFAOYSA-N	0			
MTBLC11750	PTNLHDGQWUGONS-OWOJBTEDSA-N	0			
MTBLC1178	BITYXLXUCSKTJS-ZETCQYMHSA-L	0			
MTBLC11805	DBXBTMSZEOQQDU-UHFFFAOYSA-M	1		WP3556	R-HSA-70895,R-XTR-70895,R-SSC-70895,R-CEL-70895,R-CFA-70895,R-BTA-70895,R-SPO-70895,R-MMU-70895,R-GGA-70895,R-RNO-70895,R-PFA-70895,R-OSA-70895,R-ATH-70895,R-DME-70895,R-TGU-70895,R-SCE-70895,R-DDI-70895,R-DRE-70895
MTBLC11814	CABVTRNMFUVUDM-SJBCKIPMSA-N	0			
MTBLC1184	SOXXPQLIZIPMIZ-UPHRSURJSA-N	0			
MTBLC11851	QHKABHOOEWYVLI-UHFFFAOYSA-M	0			
MTBLC1189	WHEUWNKSCXYKBU-QPWUGHHJSA-N	0			
MTBLC11892	JSJWCHRYRHKBBW-UHFFFAOYSA-M	0			
MTBLC119	YRCWQPVGYLYSOX-VIFPVBQESA-N	0			
MTBLC11935	XSSDYIMYZONMBL-BZNQNGANSA-M	0			
MTBLC119470	UUTLYHFNYZWXDD-UODHHMPYSA-N	0			
MTBLC119487	YQDKJMVUTQYUPY-SGZVBGDUSA-N	0			
MTBLC11951	UZTFMUBKZQVKLK-UHFFFAOYSA-M	0			
MTBLC11955	YQGDEPYYFWUPGO-UHFFFAOYSA-M	0			
MTBLC119674	IUXQQZFJFXDYQR-VOGAPEMXSA-N	0			
MTBLC119713	UTOTXKYACKIVLG-SSNNFMOJSA-N	0			
MTBLC11986	GTFWIYJIEXNAOL-GBXIJSLDSA-N	0			
MTBLC119916	QJBXJSHGLGKCHC-ZXJWAPCYSA-N	0			
MTBLC120059	CQKPUBAOCCCNJW-UHFFFAOYSA-N	0			
MTBLC120617	LFOVKKHRPZRMKL-BZWWISLQSA-N	0			
MTBLC120669	XAKRTOIHMJCULO-UHFFFAOYSA-N	0			
MTBLC120704	VKRZOWHFRCMNEJ-UHFFFAOYSA-N	0			
MTBLC12071	QYNUQALWYRSVHF-ABLWVSNPSA-L	1		WP3562,WP3806	R-HSA-196757,R-HSA-6783984,R-XTR-196757,R-XTR-6783984,R-SSC-196757,R-SSC-6783984,R-CEL-196757,R-CEL-6783984,R-CFA-196757,R-CFA-6783984,R-BTA-196757,R-BTA-6783984,R-SPO-196757,R-SPO-6783984,R-MMU-196757,R-MMU-6783984,R-GGA-196757,R-GGA-6783984,R-RNO-196757,R-RNO-6783984,R-PFA-196757,R-PFA-6783984,R-OSA-196757,R-OSA-6783984,R-ATH-196757,R-ATH-6783984,R-DME-196757,R-DME-6783984,R-TGU-196757,R-TGU-6783984,R-SCE-196757,R-SCE-6783984,R-DDI-196757,R-DDI-6783984,R-DRE-196757,R-DRE-6783984
MTBLC120780	YOEKQKPKLQYUDG-UHFFFAOYSA-N	0			
MTBLC120792	SFBMMSWLODLMIY-UHFFFAOYSA-N	0			
MTBLC120820	LZWJFQBILOLXMS-UHFFFAOYSA-N	0			
MTBLC120868	HMEWYFTUPMDASV-UHFFFAOYSA-N	0			
MTBLC12109	ZGXJTSGNIOSYLO-UHFFFAOYSA-M	0			
MTBLC121196	ZLLAXLPOOMLVRF-UHFFFAOYSA-N	0			
MTBLC121399	FGRGUJPSVCNTFV-UHFFFAOYSA-N	0			
MTBLC121460	NMOFTYLBXGDJGZ-UHFFFAOYSA-N	0			
MTBLC121482	OAXYBUOUIBRUFV-UHFFFAOYSA-N	0			
MTBLC12154	MGTZCLMLSSAXLD-UHFFFAOYSA-M	0			
MTBLC121564	JHJPDDBIHSFERA-UHFFFAOYSA-N	0			
MTBLC1217	UTBVIMLZIRIFFR-UHFFFAOYSA-N	0			
MTBLC121742	ROJCVVUGPVIFSW-NTQLBPEASA-N	0			
MTBLC12194	BZQFBWGGLXLEPQ-REOHCLBHSA-L	0			
MTBLC121952	WZTWKKZBWRGELO-UHFFFAOYSA-N	0			
MTBLC122	WEYVVCKOOFYHRW-GOSISDBHSA-N	0			
